,Title,Make,Model,Year,Condition,Transmission,Price
940,Toyota Rav4 Limited Awd (2.5L 4Cyl 6A) 2017 Silver,Toyota,RAV4 Limited,2017,foreign used,Automatic,32000000
941,Hyundai Sonata Limited Sedan Fwd (2.4L 4Cyl 6A) 2017 Gray,Hyundai,Sonata Limited,2017,foreign used,Automatic,14000000
942,Gmc Sierra 1500 2014 Black,GMC,Sierra 1500,2014,foreign used,Automatic,25500000
943,Toyota Highlander Sport 2008 Silver,Toyota,Highlander Sport,2008,foreign used,Automatic,13000000
944,Toyota Avalon 2014 Gray,Toyota,Avalon,2014,local used,Automatic,13800000
945,Lexus Rx 2000 Gray,Lexus,RX,2000,local used,Automatic,3400000
946,Honda Cr V 2013 Black,Honda,CR-V,2013,foreign used,Automatic,16500000
947,Lexus Lx 570 2011 Black,Lexus,LX 570,2011,local used,Automatic,34600000
948,Lexus Rx 2005 Silver,Lexus,RX,2005,foreign used,Automatic,14050000
949,Toyota Sienna 2007 Gray,Toyota,Sienna,2007,local used,Automatic,6600000
950,Toyota Corolla 2006 Red,Toyota,Corolla,2006,foreign used,Automatic,5300000
951,Acura Mdx 2008 Red,Acura,MDX,2008,local used,Automatic,4500000
952,Toyota Sienna 2011 Gray,Toyota,Sienna,2011,local used,Automatic,11000000
953,Lexus Es 350 2012 Black,Lexus,ES 350,2012,foreign used,Automatic,11500000
954,Lexus Rx 2016 Blue,Lexus,RX,2016,foreign used,Automatic,33700000
955,Lexus Es 350 2008 Gold,Lexus,ES 350,2008,local used,Automatic,6800000
957,Acura Mdx 2008 Silver,Acura,MDX,2008,local used,Automatic,5500000
959,Honda Pilot Ex 4Dr Suv 4Wd (3.5L 6Cyl 5A) 2011 Black,Honda,Pilot EX,2011,foreign used,Automatic,12500000
960,Lexus Rx 350 Awd 2015 Silver,Lexus,RX 350,2015,foreign used,Automatic,23999000
961,Toyota Highlander Limited 2012 Silver,Toyota,Highlander Limited,2012,foreign used,Automatic,19500000
964,Honda Accord 2008 Gold,Honda,Accord,2008,local used,Automatic,4900000
965,Nissan Sentra 2013 Black,Nissan,Sentra,2013,local used,Automatic,6000000
966,Honda Accord 2008 Black,Honda,Accord,2008,local used,Automatic,4500000
967,Mercedes Benz C300 2016 Silver,Mercedes-Benz,C300,2016,foreign used,Automatic,15000000
968,Mercedes Benz E350 2014 Black,Mercedes-Benz,E350,2014,foreign used,Automatic,17200000
969,Toyota Avalon 2003 Blue,Toyota,Avalon,2003,local used,Automatic,3000000
970,Toyota Matrix 2010 Silver,Toyota,Matrix,2010,foreign used,Automatic,10900000
971,Honda Civic 1.8I Vtec 2008 Black,Honda,Civic 1,2008,local used,Automatic,3200000
972,Toyota Rav4 Xle Awd (2.5L 4Cyl 6A) 2017 Red,Toyota,RAV4 XLE,2017,foreign used,Automatic,24000000
973,Honda Accord Sport 4Dr Sedan (2.4L 4Cyl Cvt) 2014 Brown,Honda,Accord Sport,2014,local used,Automatic,9850000
974,Honda Civic 1.8 Sedan Ex Automatic 2007 Gray,Honda,Civic 1,2007,local used,Automatic,3650000
975,Toyota Sequoia Limited 4Dr Suv 4Wd (5.7L 8Cyl 6A) 2010 Gray,Toyota,Sequoia Limited,2010,local used,Automatic,9950000
976,Toyota Highlander Xle 4Dr Suv Awd (3.5L 6Cyl 6A) 2015 Gray,Toyota,Highlander XLE,2015,foreign used,Automatic,27800000
977,Toyota Camry Se 4Dr Sedan (3.5L 6Cyl 6A) 2014 Gray,Toyota,Camry SE,2014,local used,Automatic,9350000
978,Hyundai Santa Fe 2008 Gray,Hyundai,Santa Fe,2008,local used,Automatic,8479687
979,Peugeot 206 2005 Blue,Peugeot,206,2005,local used,Automatic,3300000
980,Toyota Camry 2009 Black,Toyota,Camry,2009,local used,Automatic,6000000
981,Toyota Camry 2010 Gray,Toyota,Camry,2010,foreign used,Automatic,9800000
982,Toyota Camry Se 4Dr Sedan (2.5L 4Cyl 6A) 2012 Gray,Toyota,Camry SE,2012,foreign used,Automatic,15000000
984,Toyota Highlander 2010 Silver,Toyota,Highlander,2010,local used,Automatic,9600000
985,Mercedes Benz Glk Class 2015 Black,Mercedes-Benz,GLK-Class,2015,foreign used,Automatic,22500000
986,Lexus Rx 2012 Black,Lexus,RX,2012,local used,Automatic,14200000
987,Toyota Camry 2017 Black,Toyota,Camry,2017,foreign used,Automatic,12800000
988,Toyota Yaris 2008 Gray,Toyota,Yaris,2008,local used,Automatic,5300000
989,Toyota Sienna Le Fwd 8 Passenger 2013 Burgundy,Toyota,Sienna LE,2013,foreign used,Automatic,15500000
991,Toyota Camry 1998 Gray,Toyota,Camry,1998,local used,Automatic,2400000
992,Toyota Highlander 2015 Gray,Toyota,Highlander,2015,local used,Automatic,19999999
993,Honda Accord Crosstour Ex 2010 Black,Honda,Accord Crosstour,2010,local used,Automatic,6200000
994,Mercedes Benz Gle Class 2016 White,Mercedes-Benz,GLE-Class,2016,foreign used,Automatic,35000000
995,Toyota Rav4 2.5 Sport 2010,Toyota,RAV4 2,2010,foreign used,Automatic,10500000
996,Land Rover Range Rover Evoque Se 4X4 5 Door 2017 Black,Land,Rover Range,2017,foreign used,Automatic,19000000
997,Toyota 4 Runner Limited 4Dr Suv 4Wd (4.0L 6Cyl 5A) 2015 Silver,Toyota,4-Runner Limited,2015,foreign used,Automatic,33000000
998,Lexus Es 300 2003 Silver,Lexus,ES 300,2003,local used,Automatic,4100000
999,Mercedes Benz Glk Class 350 2011 Black,Mercedes-Benz,GLK-Class 350,2011,local used,Automatic,11500000
1000,Toyota Avalon Touring Fwd Sedan (3.6L 6Cyl 6A) 2016 Silver,Toyota,Avalon Touring,2016,foreign used,Automatic,22000000
1002,Toyota Corolla Altis 1.5 2005 Silver,Toyota,Corolla Altis,2005,foreign used,Automatic,6900000
1003,Mercedes Benz Gle Class 2017 Black,Mercedes-Benz,GLE-Class,2017,local used,Automatic,35500000
1004,Lexus Rx 2018 White,Lexus,RX,2018,foreign used,Automatic,36500000
1006,Lexus Rx 2006 Silver,Lexus,RX,2006,local used,Automatic,7000000
1007,Mercedes Benz M Class 2014 Black,Mercedes-Benz,M Class,2014,foreign used,Automatic,25500000
1008,Lexus Es 350 2009 White,Lexus,ES 350,2009,foreign used,Automatic,12800000
1009,Mercedes Benz Clk 2003 White,Mercedes-Benz,CLK,2003,local used,Automatic,3700000
1010,Toyota Rav4 2016 Black,Toyota,RAV4,2016,local used,Automatic,14900000
1012,Honda Accord 2017 Black,Honda,Accord,2017,local used,Automatic,11500000
1013,Peugeot 307 2011 Black,Peugeot,307,2011,local used,Automatic,4500000
1014,Toyota Corolla Le 2022 Blue,Toyota,Corolla LE,2022,foreign used,Automatic,22500000
1015,Toyota Highlander Xle 4X2 V6 (3.5L 6Cyl 8A) 2018 Gray,Toyota,Highlander XLE,2018,foreign used,Automatic,31850000
1016,Mercedes Benz M Class 2012 Black,Mercedes-Benz,M Class,2012,foreign used,Automatic,20000000
1017,Land Rover Range Rover Velar 2018 Gray,Land,Rover Range,2018,local used,Automatic,34500000
1018,Toyota Avalon 2015 Black,Toyota,Avalon,2015,local used,Automatic,13800000
1019,Toyota Avalon 2011 Silver,Toyota,Avalon,2011,local used,Automatic,6000000
1020,Toyota Avalon 2001 Gray,Toyota,Avalon,2001,local used,Automatic,2500000
1021,Fiat Duna Weekend 1998 White,Fiat,Duna Weekend,1998,local used,Automatic,9600000
1022,Honda Accord Automatic 2005 Black,Honda,Accord Automatic,2005,foreign used,Automatic,7850000
1023,Mercedes Benz Gl Class 2011 Blue,Mercedes-Benz,GL-Class,2011,local used,Automatic,13000000
1025,Lexus Rx 330 2005 Gold,Lexus,RX 330,2005,local used,Automatic,7800000
1026,Hyundai Sonata Limited Sedan Fwd (2.4L 4Cyl 6A) 2011 Black,Hyundai,Sonata Limited,2011,foreign used,Automatic,11000000
1027,Mercedes Benz M Class 2014 Black,Mercedes-Benz,M Class,2014,foreign used,Automatic,22000000
1028,Toyota Camry Xse (2.5L 4Cyl 8A) 2019 Silver,Toyota,Camry XSE,2019,foreign used,Automatic,34000000
1030,Toyota Highlander Limited V6 4X4 (3.5L 6Cyl 6A) 2016 White,Toyota,Highlander Limited,2016,foreign used,Automatic,26500000
1031,Lexus Rx 2002 Black,Lexus,RX,2002,local used,Automatic,4800000
1032,Toyota Camry 2.4 Le 2008 Blue,Toyota,Camry 2,2008,local used,Automatic,6300000
1033,Toyota Sienna 2015 Green,Toyota,Sienna,2015,foreign used,Automatic,19900000
1034,Toyota Tacoma Sr5 2017 Silver,Toyota,Tacoma SR5,2017,local used,Automatic,28500000
1035,Toyota Highlander 2012 Burgundy,Toyota,Highlander,2012,foreign used,Automatic,19800000
1036,Toyota Camry 2016 Red,Toyota,Camry,2016,foreign used,Automatic,17800000
1037,Mercedes Benz Glk Class 2012 Black,Mercedes-Benz,GLK-Class,2012,foreign used,Automatic,16200000
1038,Toyota Camry 2008 Silver,Toyota,Camry,2008,local used,Automatic,6800000
1039,Hyundai Elantra 2013,Hyundai,Elantra,2013,foreign used,Automatic,14200000
1040,Toyota Corolla 2005 Red,Toyota,Corolla,2005,local used,Automatic,4200000
1041,Bmw X6 2011 Black,BMW,X6,2011,local used,Automatic,9100000
1042,Toyota Camry 2005 Gold,Toyota,Camry,2005,local used,Automatic,4200000
1043,Toyota Corolla Le Eco 4Dr Sedan (1.8L 4Cyl Cvt) 2015 Silver,Toyota,Corolla LE,2015,local used,Automatic,9500000
1044,Ford Explorer Sport 4Dr 4X4 (3.5L 6Cyl 6A) 2017 Black,Ford,Explorer Sport,2017,foreign used,Automatic,17000000
1045,Ford Edge Titanium 4Dr Suv (2.0L 4Cyl Turbo 6A) 2015 White,Ford,Edge Titanium,2015,foreign used,Automatic,15000000
1047,Toyota Corolla 2010 Red,Toyota,Corolla,2010,local used,Automatic,8700000
1048,Honda Accord 2000 Red,Honda,Accord,2000,local used,Automatic,2650000
1049,Mercedes Benz Glk Class 2012 Silver,Mercedes-Benz,GLK-Class,2012,foreign used,Automatic,13500000
1050,Lexus Gx 2008 Black,Lexus,GX,2008,local used,Automatic,8800000
1051,Lexus Rx 350 Awd 2018 Red,Lexus,RX 350,2018,local used,Automatic,32500000
1052,Kia Mohave 2013 Gray,Kia,Mohave,2013,local used,Automatic,6000000
1053,Mercedes Benz M Class 2014 White,Mercedes-Benz,M Class,2014,local used,Automatic,13000000
1056,Mercedes Benz Cla Class Cla 180 D Sedan 2019 Gray,Mercedes-Benz,CLA-Class CLA,2019,foreign used,Automatic,24000000
1057,Toyota Highlander Sport 2010 Gray,Toyota,Highlander Sport,2010,local used,Automatic,10800000
1058,Toyota Venza V6 Awd 2011 White,Toyota,Venza V6,2011,foreign used,Automatic,21000000
1059,Toyota Camry 2009 Red,Toyota,Camry,2009,foreign used,Automatic,9100000
1060,Toyota Sienna Ce Awd 2006 Gold,Toyota,Sienna CE,2006,foreign used,Automatic,9750000
1061,Honda Accord 2003 Gray,Honda,Accord,2003,local used,Automatic,2500000
1062,Mercedes Benz M Class Ml350 4Matic 4Dr Suv Awd (3.5L 6Cyl 7A) 2015 Gray,Mercedes-Benz,M Class,2015,foreign used,Automatic,24500000
1064,Honda Accord 2017 Black,Honda,Accord,2017,local used,Automatic,12700000
1065,Toyota Highlander 2006 Blue,Toyota,Highlander,2006,local used,Automatic,7300000
1066,Toyota Corolla Le 2020 Silver,Toyota,Corolla LE,2020,foreign used,Automatic,22500000
1067,Toyota Corolla S Premium 4Dr Sedan (1.8L 4Cyl Cvt) 2015 White,Toyota,Corolla S,2015,local used,Automatic,12000000
1069,Lexus Rx 2012 Black,Lexus,RX,2012,local used,Automatic,14000000
1070,Mercedes Benz Gle Class Gle 350 2018 Gray,Mercedes-Benz,GLE-Class GLE,2018,foreign used,Automatic,45000000
1071,Kia Picanto 2016 Gray,Kia,Picanto,2016,foreign used,Automatic,11000000
1072,Mercedes Benz Gle Class Gle 350 2016 White,Mercedes-Benz,GLE-Class GLE,2016,local used,Automatic,27000000
1073,Honda Accord Ex L W/Navigation 4Dr Sedan (2.4L 4Cyl Cvt) 2015 Gray,Honda,Accord EX-L,2015,local used,Automatic,7850000
1074,Hyundai Sonata 2015 Silver,Hyundai,Sonata,2015,foreign used,Automatic,16500000
1075,Lexus Es 350 2008 Gray,Lexus,ES 350,2008,foreign used,Automatic,10600000
1076,Dodge Charger Sxt 2012 Black,Dodge,Charger SXT,2012,foreign used,Automatic,10200000
1077,Toyota Corolla Se 2021 Gray,Toyota,Corolla SE,2021,foreign used,Automatic,26500000
1078,Mercedes Benz E350 Base 4Matic Coupe Awd (3.5L 6Cyl 7A) 2014 Black,Mercedes-Benz,E350 Base,2014,foreign used,Automatic,38000000
1080,Mercedes Benz Gle Class Gle 400 4Matic 2017 Black,Mercedes-Benz,GLE-Class GLE,2017,foreign used,Automatic,39000000
1081,Toyota Corolla 2009 Blue,Toyota,Corolla,2009,local used,Automatic,6500000
1082,Toyota Camry Le 4Dr Sedan (2.4L 4Cyl 5A) 2005 Red,Toyota,Camry LE,2005,foreign used,Automatic,8500000
1083,Lexus Es 350 2009 Gray,Lexus,ES 350,2009,local used,Automatic,5000000
1084,Toyota Venza 2011 White,Toyota,Venza,2011,local used,Automatic,12500000
1085,Toyota Corolla Le 4Dr Sedan (1.8L 4 Cyl 4A) 2009 Green,Toyota,Corolla LE,2009,local used,Automatic,6400000
1086,Toyota Corolla Le Premium 4Dr Sedan (1.8L 4Cyl Cvt) 2016 White,Toyota,Corolla LE,2016,local used,Automatic,9999999
1087,Mercedes Benz Gle Class Gle 350 2017 Black,Mercedes-Benz,GLE-Class GLE,2017,foreign used,Automatic,30000000
1088,Honda Cr V Lx 4Dr Suv Awd (2.4L 4Cyl 5A) 2013 Silver,Honda,CR-V LX,2013,local used,Automatic,11650000
1089,Toyota Highlander Xle 4X4 V6 (3.5L 6Cyl 8A) 2017 White,Toyota,Highlander XLE,2017,foreign used,Automatic,29500000
1090,Lexus Rx 2017 Gray,Lexus,RX,2017,foreign used,Automatic,35500000
1092,Toyota Highlander 2005 Blue,Toyota,Highlander,2005,local used,Automatic,6850000
1093,Lexus Rx 350 Awd 2008 Black,Lexus,RX 350,2008,local used,Automatic,8500000
1094,Ford Edge Sport 4Dr Suv (2.7L 6Cyl Turbo 6A) 2015 Gray,Ford,Edge Sport,2015,foreign used,Automatic,14500000
1096,Mercedes Benz Gle Class Gle 350 2016 Black,Mercedes-Benz,GLE-Class GLE,2016,foreign used,Automatic,32000000
1097,Toyota Sienna Ce 7 Passenger 2010 Blue,Toyota,Sienna CE,2010,foreign used,Automatic,900000
1098,Toyota Highlander Xle 4Dr Suv Awd (3.5L 6Cyl 6A) 2015 Blue,Toyota,Highlander XLE,2015,local used,Automatic,21950000
1099,Toyota Rav4 Limited 2021 Black,Toyota,RAV4 Limited,2021,foreign used,Automatic,38500000
1100,Lexus Rx 350 2011 Gray,Lexus,RX 350,2011,foreign used,Automatic,23500000
1101,Acura Mdx 3.5L 4X4 2003 Green,Acura,MDX 3,2003,local used,Automatic,2900000
1102,Hyundai Sonata 2013 Silver,Hyundai,Sonata,2013,foreign used,Automatic,10500000
1103,Mercedes Benz Gle Class 2017 White,Mercedes-Benz,GLE-Class,2017,local used,Automatic,25500000
1104,Mercedes Benz C300 Luxury 4Dr Awd 4Matic Sedan (2.0L 4Cyl 7A) 2015,Mercedes-Benz,C300 Luxury,2015,local used,Automatic,11500000
1105,Mercedes Benz Gle Class Gle 350 2016 Black,Mercedes-Benz,GLE-Class GLE,2016,foreign used,Automatic,38000000
1106,Toyota Corolla S Premium 4Dr Sedan (1.8L 4Cyl Cvt) 2015 Blue,Toyota,Corolla S,2015,local used,Automatic,13000000
1107,Kia Sportage 2012 Gray,Kia,Sportage,2012,local used,Automatic,9500000
1108,Toyota Highlander Limited 4X4 V6 (3.5L 6Cyl 8A) 2017 Black,Toyota,Highlander Limited,2017,foreign used,Automatic,34500000
1109,Toyota Corolla Le 4Dr Sedan (1.8L 4Cyl 4A) 2010 Silver,Toyota,Corolla LE,2010,foreign used,Automatic,10400000
1110,Hyundai Palisade 2020 Gray,Hyundai,Palisade,2020,local used,Automatic,39999999
1111,Honda Ridgeline Black Edition Awd Crew Cab 125.2 In. Wb 2017 Black,Honda,Ridgeline Black,2017,foreign used,Automatic,27000000
1112,Toyota Camry Se 4Dr Sedan (2.5L 4Cyl 6A) 2017 Black,Toyota,Camry SE,2017,foreign used,Automatic,16500000
1113,Peugeot 206 2004 Silver,Peugeot,206,2004,local used,Automatic,2300000
1114,Toyota Camry Xse (2.5L 4Cyl 8A) 2019 Black,Toyota,Camry XSE,2019,local used,Automatic,23000000
1115,Mercedes Benz Gla 250 2017,Mercedes-Benz,GLA 250,2017,foreign used,Automatic,19500000
1116,Toyota Camry Le 4Dr Sedan (2.2L 4Cyl 4A) 2000 Silver,Toyota,Camry LE,2000,foreign used,Automatic,6500000
1117,Toyota Corolla 2009 Black,Toyota,Corolla,2009,local used,Automatic,6600000
1118,Mercedes Benz Glc Class 2017 Blue,Mercedes-Benz,GLC-Class,2017,foreign used,Automatic,29000000
1119,Toyota Highlander Se 2011 Silver,Toyota,Highlander SE,2011,local used,Automatic,11800000
1120,Lexus Rx 350 2011 Black,Lexus,RX 350,2011,local used,Automatic,13500000
1121,Mercedes Benz M Class 2014 Gray,Mercedes-Benz,M Class,2014,foreign used,Automatic,26000000
1122,Honda Accord 2013 Black,Honda,Accord,2013,foreign used,Automatic,11500000
1123,Toyota Yaris 2004 Silver,Toyota,Yaris,2004,local used,Automatic,4400000
1125,Toyota Corolla S 4Dr Sedan (1.8L 4Cyl 4A) 2010 Gray,Toyota,Corolla S,2010,local used,Automatic,6000000
1126,Toyota Highlander 2012 Black,Toyota,Highlander,2012,local used,Automatic,12000000
1127,Toyota Camry 2015 Black,Toyota,Camry,2015,local used,Automatic,10200000
1128,Toyota Camry 2014 Black,Toyota,Camry,2014,local used,Automatic,9000000
1129,Toyota 4 Runner 2001 Black,Toyota,4-Runner,2001,local used,Automatic,2550000
1130,Honda Cr V 2.0 Automatic 1998 Black,Honda,CR-V 2,1998,local used,Automatic,3850000
1131,Hyundai Sonata 3.3 Lx 2006 Black,Hyundai,Sonata 3,2006,local used,Automatic,3200000
1132,Hyundai Elantra 2013 Gray,Hyundai,Elantra,2013,foreign used,Automatic,11500000
1133,Toyota Highlander 2006 Black,Toyota,Highlander,2006,local used,Automatic,6650000
1134,Honda Crosstour 2015 White,Honda,Crosstour,2015,local used,Automatic,10300000
1135,Lexus Rx 2015 Gold,Lexus,RX,2015,local used,Automatic,16500000
1136,Land Rover Range Rover Sport 2014,Land,Rover Range,2014,local used,Automatic,48500000
1137,Toyota Sienna 2014,Toyota,Sienna,2014,foreign used,Automatic,14000000
1139,Lexus Lx 570 Awd 2014 Black,Lexus,LX 570,2014,local used,Automatic,49000000
1140,Lexus Nx 2017 White,Lexus,NX,2017,foreign used,Automatic,40000000
1141,Toyota Camry Se (2.5L 4Cyl 8A) 2019 Brown,Toyota,Camry SE,2019,local used,Automatic,23000000
1142,Mercedes Benz Gle Class Gle 350 2016 Red,Mercedes-Benz,GLE-Class GLE,2016,foreign used,Automatic,28800000
1143,Toyota Sienna 2014 Burgundy,Toyota,Sienna,2014,foreign used,Automatic,18700000
1144,Toyota Rav4 Xle Awd (2.5L 4Cyl 6A) 2017 Burgundy,Toyota,RAV4 XLE,2017,foreign used,Automatic,23550000
1146,Lexus Nx 200T Awd 2016,Lexus,NX 200t,2016,foreign used,Automatic,31000000
1147,Lexus Es 350 2009 Black,Lexus,ES 350,2009,local used,Automatic,4900000
1148,Lexus Rx 350 2010 Black,Lexus,RX 350,2010,foreign used,Automatic,19400000
1150,Toyota Avalon Xle Touring Sedan Fwd (3.5L 6Cyl 6A) 2013 Black,Toyota,Avalon XLE,2013,local used,Automatic,12500000
1151,Toyota Rav4 Limited Fwd (2.5L 4Cyl 6A) 2017 Red,Toyota,RAV4 Limited,2017,foreign used,Automatic,25000000
1153,Lexus Es 350 2008 Burgundy,Lexus,ES 350,2008,foreign used,Automatic,11000000
1154,Toyota Venza V6 Awd 2010 Brown,Toyota,Venza V6,2010,foreign used,Automatic,17500000
1155,Lexus Rx 2009 Blue,Lexus,RX,2009,local used,Automatic,8000000
1156,Toyota Mirai 2016 White,Toyota,Mirai,2016,foreign used,Automatic,19000000
1157,Lexus Gx 460 Luxury 2014 White,Lexus,GX 460,2014,local used,Automatic,37200000
1158,Toyota Highlander Limited Platinum 2019 White,Toyota,Highlander Limited,2019,foreign used,Automatic,43500000
1159,Toyota Fortuner 2.4 D Awd 2015 Black,Toyota,Fortuner 2,2015,local used,Automatic,18500000
1160,Honda Civic 2012 Gray,Honda,Civic,2012,local used,Automatic,5850000
1162,Ford Explorer Limited 4X4 2020 Black,Ford,Explorer Limited,2020,local used,Automatic,35000000
1163,Volvo Xc90 2011 Brown,Volvo,XC90,2011,local used,Automatic,7000000
1164,Hyundai Sonata 2016 Black,Hyundai,Sonata,2016,foreign used,Automatic,14200000
1165,Toyota Rav4 2006 Red,Toyota,RAV4,2006,local used,Automatic,7500000
1166,New Car 2024 White,New,Car,2024,brand new,Automatic,14500000
1167,New Car 2024 White,New,Car,2024,brand new,Automatic,12500000
1168,Bmw 328I 2012 Black,BMW,328i,2012,local used,Automatic,9000000
1169,Ford Edge 2021 Black,Ford,Edge,2021,local used,Automatic,30000000
1170,Acura Zdx Base Awd 2011 Gray,Acura,ZDX Base,2011,local used,Automatic,10500000
1172,Bmw 328I 2012 White,BMW,328i,2012,local used,Automatic,8300000
1173,Lexus Gx 470 Sport Utility 2005 Black,Lexus,GX 470,2005,local used,Automatic,7000000
1174,Mercedes Benz M Class Ml350 4Dr Suv (3.5L 6Cyl 7A) 2015 Brown,Mercedes-Benz,M Class,2015,foreign used,Automatic,24500000
1175,Lexus Rx 2005,Lexus,RX,2005,local used,Automatic,6650000
1176,Toyota Rav4 2.5 Limited 4X4 2011 Red,Toyota,RAV4 2,2011,foreign used,Automatic,11700000
1177,Toyota Highlander 2007 Blue,Toyota,Highlander,2007,local used,Automatic,4400000
1178,Toyota Camry 2004 Red,Toyota,Camry,2004,local used,Automatic,2800000
1179,Honda Accord 2022 Gray,Honda,Accord,2022,foreign used,Automatic,41500000
1180,Toyota Camry Xle 4Dr Sedan (2.5L 4Cyl 6Am) 2010 Silver,Toyota,Camry XLE,2010,foreign used,Automatic,11000000
1181,Toyota Venza Limited 2011 Brown,Toyota,Venza Limited,2011,local used,Automatic,10500000
1182,Lexus Rx 2013 Black,Lexus,RX,2013,foreign used,Automatic,25500000
1183,Toyota Avalon 1998 Gray,Toyota,Avalon,1998,local used,Automatic,3500000
1184,Toyota Camry 2014 Black,Toyota,Camry,2014,foreign used,Automatic,13000000
1185,Toyota Highlander 2013 Blue,Toyota,Highlander,2013,local used,Automatic,12350000
1186,Toyota Corolla Le 4Dr Sedan (1.8L 4 Cyl 4A) 2009 Blue,Toyota,Corolla LE,2009,local used,Automatic,8000000
1188,Honda Accord 2007 Black,Honda,Accord,2007,local used,Automatic,3500000
1190,Honda Accord 3.5 Ex Automatic 2008 Gray,Honda,Accord 3,2008,local used,Automatic,4500000
1191,Ford Mustang Gt Premium Coupe 2008,Ford,Mustang GT,2008,local used,Automatic,10100000
1192,Hyundai Sonata 2019 Gray,Hyundai,Sonata,2019,foreign used,Automatic,16000000
1193,Toyota Highlander Limited 2009 Gold,Toyota,Highlander Limited,2009,local used,Automatic,9800000
1194,Toyota Sienna Le 8 Passenger 2010 Blue,Toyota,Sienna LE,2010,foreign used,Automatic,9850000
1195,Toyota Corolla Se Special Edition 4Dr Sedan (1.8L 4Cyl Cvt) 2017 Black,Toyota,Corolla SE,2017,foreign used,Automatic,18000000
1196,Scion Xb Base 2009 Silver,Scion,xB Base,2009,foreign used,Automatic,7700000
1197,Toyota Venza Xle Awd 2013 Silver,Toyota,Venza XLE,2013,foreign used,Automatic,18000000
1198,Hyundai Sonata Limited Sedan Fwd (2.4L 4Cyl 6A) 2012 Blue,Hyundai,Sonata Limited,2012,foreign used,Automatic,10500000
1199,Mazda Cx 9 2008 White,Mazda,CX-9,2008,local used,Automatic,5116287
1200,Hyundai Sonata Sport Sedan Fwd (2.4L 4Cyl 6A) 2016 Silver,Hyundai,Sonata Sport,2016,foreign used,Automatic,13000000
1201,Land Rover Range Rover Sport 2013 Silver,Land,Rover Range,2013,local used,Automatic,7500000
1202,Toyota Highlander Limited 4X4 V6 (3.5L 6Cyl 8A) 2018 White,Toyota,Highlander Limited,2018,foreign used,Automatic,32500000
1203,Toyota Highlander Xle Awd 2020 Black,Toyota,Highlander XLE,2020,foreign used,Automatic,49500000
1204,Toyota C Hr Limited Fwd 2019 Black,Toyota,C-HR Limited,2019,foreign used,Automatic,25000000
1205,Lexus Lx 2023 Black,Lexus,LX,2023,local used,Automatic,30000000
1206,Toyota Camry Se 4Dr Sedan (2.4L 4Cyl 5A) 2008 Blue,Toyota,Camry SE,2008,foreign used,Automatic,8800000
1207,Toyota Corolla 2010 Gray,Toyota,Corolla,2010,local used,Automatic,7087500
1208,Mercedes Benz Glk Class 2013 Gray,Mercedes-Benz,GLK-Class,2013,foreign used,Automatic,15000000
1209,Toyota Yaris 2017 Black,Toyota,Yaris,2017,foreign used,Automatic,14500000
1210,Mercedes Benz Glk Class 350 4Matic 2010 Black,Mercedes-Benz,GLK-Class 350,2010,local used,Automatic,16000000
1211,Hyundai Santa Fe Sport 2.0T 2013 Silver,Hyundai,Santa Fe,2013,foreign used,Automatic,17500000
1212,Toyota Camry 2005 Gold,Toyota,Camry,2005,local used,Automatic,4200000
1213,Honda Accord 2007 Blue,Honda,Accord,2007,local used,Automatic,3850000
1214,Ford Edge 2008 Black,Ford,Edge,2008,local used,Automatic,6500000
1216,Toyota Rav4 Le Awd (2.5L 4Cyl 6A) 2013 Green,Toyota,RAV4 LE,2013,local used,Automatic,13800000
1217,Toyota Corolla Le 2005 Gray,Toyota,Corolla LE,2005,local used,Automatic,5500000
1218,Toyota Camry Xle V6 4Dr Sedan (3.5L 6Cyl 6Am) 2007 Gold,Toyota,Camry XLE,2007,local used,Automatic,4200000
1219,Lexus Rx 350 F Sport Awd 2015 Silver,Lexus,RX 350,2015,foreign used,Automatic,30000000
1220,Mercedes Benz Glc Class 2017 Black,Mercedes-Benz,GLC-Class,2017,local used,Automatic,51000000
1221,Toyota Camry Le 4Dr Sedan (2.5L 4Cyl 6Am) 2010 Gray,Toyota,Camry LE,2010,local used,Automatic,7500000
1222,Toyota Rav4 2004 Silver,Toyota,RAV4,2004,local used,Automatic,3500000
1223,Toyota Camry 2004 Gold,Toyota,Camry,2004,local used,Automatic,3600000
1224,Ford Edge Se 4Dr Fwd (3.5L 6Cyl 6A) 2008 Gray,Ford,Edge SE,2008,local used,Automatic,4200000
1225,Mercedes Benz R Class R 350 4Matic Awd 2012 Black,Mercedes-Benz,R-Class R,2012,local used,Automatic,6570000
1226,Toyota Camry 2013 Black,Toyota,Camry,2013,foreign used,Automatic,13500000
1227,Acura Mdx Sport Package Awd (3.7L 6Cyl 5A) 2009 Silver,Acura,MDX Sport,2009,local used,Automatic,4000000
1228,Toyota Camry 2010,Toyota,Camry,2010,local used,Automatic,8000000
1230,Toyota Camry 2017 Gray,Toyota,Camry,2017,local used,Automatic,13000000
1231,Toyota Rav4 2010 Black,Toyota,RAV4,2010,local used,Automatic,8500000
1232,Toyota Camry 2007,Toyota,Camry,2007,local used,Automatic,5000000
1233,Honda Accord Sport 4Dr Sedan (2.4L 4Cyl Cvt) 2014 Silver,Honda,Accord Sport,2014,foreign used,Automatic,13500000
1234,Honda Accord 2005 Blue,Honda,Accord,2005,local used,Automatic,2800000
